Date,Link,Message
2022-03-28 03:24:44,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6913786369777553408,Sourav Dasgupta  can't agree.   Hr's are in search of specific cloud candidates for thier requirements.it makes sense during interview...
Generally speaking functionality of cloud is same for all players but only thier naming convention changes...
2022-03-26 04:57:56,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6913105102861918208,Sachin Mittal  next app hi  ho ...
2022-03-23 10:27:09,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6911865454323990528,I also thought the same
2022-03-23 03:25:40,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6912236760995414016,They Don't want human ...they are in search of Superman...
2022-03-21 10:32:10,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6911559248661331968,It's working for me bro...since 2 yrs
2022-03-18 10:17:08,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6910403061525991424,Thanks bro
2022-03-18 03:20:02,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6909843391803469825,Not only that advertising marketing 😂
2022-03-15 05:03:20,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6909189508643061760,Even #hr is asking pancard to attend the interviews ...what the hell is happening ..😟
2022-03-15 03:52:37,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6909161961373011968,Because they are psychiatrist.  😅 Bahubal Jain
2022-03-14 03:12:01,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6908728853070528512,When people don't believe on product...this happens😅 Ragul Sundaram
2022-03-13 17:14:39,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A131724-6905868067872616448,Obaidur Rehman
2022-03-13 16:46:13,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A131724-6905017704110252032,Manohar B
2022-03-12 12:16:09,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6908346988019236864,Tends to play with data like kids Hari Krishnan
2022-03-11 01:27:04,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6907582609749086209,Some people say athma nirbhar bhartah is on the way😅 Prathamesh Bhat
2022-03-10 17:57:11,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6907729408497733633,Traits are considered to be interfaces right??
2022-03-09 15:57:31,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6907324922251853826,I don't believe myself...every time I take back not one 2 backps 🤣 Sharad Sharma
2022-03-08 13:50:14,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6906923107140124672,Capgemini
2022-03-06 07:50:18,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6905121702049648640,"All this because of elections purely.... nothing behind this...a big bomb is going bombard India in next week in the name of increase of prize oil in vehicles, oil in kitchen🔥🔥🔥😔
An deadly rampage is going to happen...what I believe is..."
2022-03-06 00:01:42,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6903978642829914113,Keep going brother ..more power to u....
2022-03-05 17:16:55,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6905898796337766400,Always...bro...🤝✌️
2022-03-05 04:53:35,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6905727605010518016,Vibhuti Rajput 😀
2022-03-05 04:17:18,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6905720769549082624,Now astrologer is also aware of being  single problems 🤣🤣
2022-03-04 16:12:01,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6905409488006856704,But most of the time I have seen more bad only.... Took little good at small place is hiding when compared to bad...this is what my experience...is ...
2022-03-04 16:06:34,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6905492585939623936,Bro curious on this actually I'm interested to do it in Telugu....would u mind help us out in form of any YouTube demo or and links?
2022-03-04 11:12:18,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6905408560096792576,Krishna Binoth Shahi
2022-03-04 10:13:12,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6905355689531715584,Thanks for giving good experience.  Towards metaverse
2022-03-04 07:28:16,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6905410642438950912,Please join the free sessions....
Note : no advertising...
Only free advice
2022-03-04 02:04:44,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6905082457251573760,At the same time ur notice will increase😅
2022-03-04 02:02:54,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A25827-6905166631706652672,Exactly ....same question here....
2022-03-03 15:34:19,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6905104122677223424,It removes sarkari naukari...Wala people
2022-03-03 15:24:18,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6905116539113349121,Ultimately paisa
2022-03-03 14:07:54,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6905146831513497601,I have registered for it
2022-03-03 14:06:31,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6905146831513497601,I understood.....keep moving... Ahead 🤣
2022-03-03 01:00:57,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6904897513585803264,Deadly combo.  I hope streamlit still be continuing the free services.. for learners and developers... Snowflake Streamlit
2022-03-03 00:58:34,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6904882162609250304,Zach Wilson  I love to be alone ....😅 And I stay it
2022-03-02 11:32:39,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6904720897387618304,To be frank nothing...but great technologies
2022-03-02 02:40:40,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6904349869582934016,Data is the new currency 😅
